Nome,Localidade,Tipo_inferido,Min_meses,Max_meses,Confianca,Telefone_status,Telefone_orig,Email,Lat,Lon
Jardim de Infância de Almada,Almada,JI,36,72,Alta,OK,+351 212746641,geral@aeen.pt,38.682862,-9.154561
"Colégio ""Herdeiros do Futuro""",Mem Martins,Infantário,4,72,Verificar,OK,+351 219263543,coop.apapoila@escolas.min-edu.pt,38.786535,-9.347579
"Externato ""O Mundo dos Sentidos""",Mem Martins,Infantário,4,72,Verificar,OK,+351 219 200 011,ext.nsconceicao@escolas.min-edu.pt,38.797218,-9.343505
"Jardim de Infância n.º 3 de Mem Martins, Sintra",Mem Martins,JI,36,72,Alta,OK,+351 219 262 290,eb1.n3.memmartins@escolas.min-edu.pt,38.790761,-9.34923
"Jardim de Infância do Lumiar, Lisboa",LISBOA,JI,36,72,Alta,SEM_TEL,,,38.768511,-9.16177
Jardim Infantil e Creche Popular do Monte da Caparica,Monte de Caparica,Infantário,4,72,Alta,OK,+351 212955261,creche.caparica@sapo.pt,38.665306,-9.198318
Jardim de Infância de Nossa Senhora do Vale,Caxias,JI,36,72,Alta,OK,+351 214425022,eb1.n1.caxias@escolas.min-edu.pt,38.702751,-9.277034
Infantário e Jardim Infantil da Romeira,Almada,Infantário,4,72,Alta,OK,+351 212769032,infor@cparoquial-covapiedade.pt,38.669027,-9.152414
Jardim Infantil Popular do Pragal (AIPICA),Almada,JI,36,72,Alta,OK,+351 212752111,aipica1@sapo.pt,38.676328,-9.168304
Centro de Bem Estar Social do Laranjeiro,Almada,Desconhecido,4,72,Verificar,OK,+351 212542274,cebesl@gmail.com,38.654157,-9.148706
Jardim Infantil Os Dois Patinhos,Almada,JI,36,72,Alta,OK,+351 212581158,inscricoes.cmel@gmail.com,38.655533,-9.163866
A Escolinha da Aldeia,Carcavelos,Infantário,4,72,Verificar,OK,+351 214580419,aescolinhadaaldeia@gmail.com,38.688275,-9.333174
Jardim de Infância Maria Lamas,,JI,36,72,Alta,SEM_TEL,,,38.788042,-9.181047
Colégio Mãe Maria,Lisboa,Infantário,4,72,Verificar,OK,+351 214787470,geral@jipp.com.pt;sofiarodrigues@colegiomaemaria.pt,38.730043,-9.139595
"Jardim de Infância do Bairro Padre Cruz, Lisboa",LISBOA,JI,36,72,Alta,OK,+351 217 153 601,ji.pecruz@escolas.min-edu.pt,38.768718,-9.189743
Centro Comunitário Renascer,,Infantário,4,72,Verificar,SEM_TEL,,,38.660794,-9.163964
Jardim de Infância da Associação de Moradores do Vale do Forno,Odivelas,JI,36,72,Alta,OK,+351 962829828,,38.783896,-9.175529
"Jardim de Infância da Ameixoeira, Lisboa",LISBOA,JI,36,72,Alta,OK,+351 217 593 531,ji.ameixoeira@escolas.min-edu.pt,38.780653,-9.158809
Jardim de Infância Alexandre Rodrigues Ferreira,Lisboa,JI,36,72,Alta,OK,+351 213634446,eb1.n60.lisboa@escolas.min-edu.pt,38.704346,-9.197487
Externato Tim Tim,Almada,Infantário,4,72,Verificar,OK,+351 212586880,externatotimtim@gmail.com,38.656023,-9.173
Creche da Graça,Lisboa,Creche,4,36,Alta,SEM_TEL,,,38.720767,-9.129939
Inválidos do Comércio,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.776761,-9.162646
Jardim de Infância Almirante Nunes da Matta~,Parede,JI,36,72,Alta,OK,+351 214565173,ji.parede@escolas.min-edu.pt,38.690573,-9.358029
Casa do Bebé,,Infantário,4,72,Verificar,SEM_TEL,,,38.74552,-9.205103
O Peluche,Cascais e Estoril,Desconhecido,4,72,Verificar,OK,21 482 1266,,38.69829,-9.436679
Creche O Pinhal,Galiza,Creche,4,36,Alta,OK,214689400,misericordiacascais@scmc.pt,38.707256,-9.387018
Creche Sementes do Mundo,Lisboa,Creche,4,36,Alta,SEM_TEL,,,38.771302,-9.170291
Jardim de Infância Dr. João dos Santos,Odivelas,JI,36,72,Alta,OK,+351 219 330 283,ji.n2.odivelas@escolas.min-edu.pt,38.797815,-9.190423
Centro Infantil Doutor António da Costa Leal,,Infantário,4,72,Alta,SEM_TEL,,,38.785099,-9.142043
Colégio dos Arcos,Lisboa,Infantário,4,72,Verificar,OK,+351 217583522,cl.arcos@escolas.min-edu.pt,38.758439,-9.166246
"Centro Infantil ""Curiosa Idade""",Linda a Velha,Infantário,4,72,Alta,OK,+351 214143925,ci.curiosaidade@escolas.min-edu.pt,38.710111,-9.241041
Infantário do Povo de Massamá,Queluz,Infantário,4,72,Alta,OK_MULTI,+351 214 378 050;+351 968424977,geral@infantario-povo.pt,38.754056,-9.286937
Escola da Ajuda,Lisboa,Desconhecido,4,72,Verificar,OK,+351 210 150 718,,38.709866,-9.196854
Jardim de Infância da Associação de Educação e Promoção Social,Lisboa,JI,36,72,Alta,OK_MULTI,+351 213952480;+351 961406261,apros@escolas.min-edu.pt,38.747974,-9.177867
Creche Santa Clara,,Creche,4,36,Alta,SEM_TEL,,,38.777984,-9.145359
Os Pitruquinhas,Odivelas,Desconhecido,4,72,Verificar,SEM_TEL,,,38.796928,-9.195171
Jardim de Infância da Sobreda,Sobreda,JI,36,72,Alta,OK,+351 212599547,sec.eliasgarcia@gmail.com,38.653209,-9.18286
"Jardim de Infância ""O Mundo das Tropelias""",Odivelas,JI,36,72,Alta,OK,+351 219385878,ji.omundodastropelias@escolas.min-edu.pt,38.794916,-9.170727
Jardim de Infância Roque Gameiro,Odivelas,JI,36,72,Alta,OK,+351 219 340 786,ji.n3.edec@escolas.min-edu.pt,38.794108,-9.175297
Jardim de Infância de A-da-Beja,AMADORA,JI,36,72,Alta,OK,+351 219 802 476,eb1.adabeja@escolas.min-edu.pt,38.789902,-9.230942
Jardim de Infância do Alto da Ajuda,,JI,36,72,Alta,SEM_TEL,,,38.712937,-9.20175
"Jardim de Infância da Damaia, Amadora",AMADORA,JI,36,72,Alta,OK,+351 214 906 920,ji.n3.damaia@escolas.min-edu.pt,38.746808,-9.217143
Recreio das Gargalhadas,Barreiro,Desconhecido,4,72,Verificar,OK_MULTI,+351 215 969 343;+351 913206025,direcao.recreiodasgargalhadas@gmail.com,38.657694,-9.07788
Jardim de Infância Dom Pedro V - A Colmeia,Barreiro,JI,36,72,Alta,OK,+351 212075499,ji.acolmeiabarreiro@escolas.min-edu.pt,38.662303,-9.077203
Jardim de Infância Dom Pedro V - O Comboio,Barreiro,JI,36,72,Alta,OK,+351 212078820,ji.ocomboiobarreiro@escolas.min-edu.pt,38.657165,-9.074785
Jardim de Infância Gil Eanes,Pontinha,JI,36,72,Alta,OK,+351 214 785 178,ji.pontinhagileanes@escolas.min-edu.pt,38.769055,-9.198238
Creche do Tomás,,Creche,4,36,Alta,SEM_TEL,,,38.774697,-9.151007
"Jardim de Infância de Terraços da Ponte, Sacavém, Loures",SACAVÉM,JI,36,72,Alta,OK,+351 219 423 609,ji.terracosponte@escolas.min-edu.pt,38.79751,-9.113921
Associação da Penha de França,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.725991,-9.12463
"Jardim de Infância ""O Palhaço""",Linda a Velha,JI,36,72,Alta,OK,+351 214191239,cji.opalhaco@escolas.min-edu.pt,38.717386,-9.243896
Jardim de Infância José Martins,Linda A Velha,JI,36,72,Alta,OK,+351 214 190 874,ji.lindaavelha@escolas.min-edu.pt,38.710623,-9.241897
"Infantário Horizonte - ""Educar para Incluir""",Parede,Infantário,4,72,Alta,OK,+351 214524619,recepcao1@horizonte.pt,38.704752,-9.361453
Jardim de Infância Raquel Gameiro,Amadora,JI,36,72,Alta,OK,+351 214939719,eb1.raquelgameiro@escolas.min-edu.pt,38.756054,-9.242119
Creche Luís Madureira,,Creche,4,36,Alta,SEM_TEL,,,38.73459,-9.211245
Creche Jardim Infantil de Santo Amaro,Lisboa,Infantário,4,72,Alta,OK,+351 213644674,cre.lisboa@escolas.min-edu.pt,38.70431,-9.185555
Infantário de Bicesse,,Infantário,4,72,Alta,SEM_TEL,,,38.725211,-9.373367
Creche Rainha Dona Leonor,,Creche,4,36,Alta,SEM_TEL,,,38.73068,-9.317882
"Jardim de Infância ""Unidinhos""",Amadora,JI,36,72,Alta,OK_MULTI,+351 218268459;+351 937067728,ji.bestrelaafrica@escolas.min-edu.pt,38.783023,-9.2218
Associação Ester Janz,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.750328,-9.102975
Creche Manuela Ramalho Eanes,,Creche,4,36,Alta,SEM_TEL,,,38.731142,-9.110986
Casa Chabad,Cascais,Infantário,4,72,Verificar,OK_MULTI,+351 211626104;+351 213860618;+351 910345639,raizel@chabadportugal.com,38.69961,-9.443196
Jardim de Infância Álvaro de Campos,Odivelas,JI,36,72,Alta,OK,+351 219 387 497,ji.n1.odivelas@escolas.min-edu.pt,38.794937,-9.172993
Jardim de Infância O Sonho dos Pestinhas,Odivelas,JI,36,72,Alta,OK,+351 219 377 137,ji.osonhodospestinhas@escolas.min-edu.pt,38.793331,-9.169261
Jardim de Infância Padre Agostinho da Mota,Rio de Mouro,JI,36,72,Alta,OK,+351 219 258 473,eb1.n1.albarraque@escolas.min-edu.pt,38.757741,-9.345785
Jardim de Infância n.º 1 do Cacém,Agualva-Cacém,JI,36,72,Alta,OK,+351 219 180 470,eb1.n2.cacem@escolas.min-edu.pt,38.766448,-9.309162
Jardim de Infância de Bicesse,Alcabideche,JI,36,72,Alta,OK,+351 214 691 026,ji.bicesse@escolas.min-edu.pt,38.728597,-9.385189
Jardim de Infância de Carcavelos,Carcavelos,JI,36,72,Alta,OK,+351 214 564 815,ji.carcavelos@escolas.min-edu.pt,38.689525,-9.334609
"Jardim de Infância de Telheiras, Lisboa",Lisboa,JI,36,72,Alta,OK,+351 217 586 091,ji.telheiras@escolas.min-edu.pt,38.760166,-9.170846
"Jardim de Infância da Horta Nova, Lisboa",LISBOA,JI,36,72,Alta,OK,+351 217 169 951,ji.boahora@escolas.min-edu.pt,38.765524,-9.181876
Jardim de Infância do Cerrado da Bica,AMADORA,JI,36,72,Alta,OK,+351 214 928 491,ji.cerradobica@escolas.min-edu.pt,38.759962,-9.231018
Jardim de Infância Cova da Moura,AMADORA,JI,36,72,Alta,OK,+351 214 906 420,eb1.covamoura@escolas.min-edu.pt,38.74481,-9.214852
Jardim de Infância Fátima Campino,ALCABIDECHE,JI,36,72,Alta,SEM_TEL,,ji.alcoitao@escolas.min-edu.pt,38.734758,-9.391193
Jardim de Infância de São Brás,AMADORA,JI,36,72,Alta,OK,+351 214 912 150,ji.sbppalvaroproenca@escolas.min-edu.pt,38.768179,-9.22698
Jardim de Infância de Belém,LISBOA,JI,36,72,Alta,SEM_TEL,,,38.69923,-9.204273
Jardim de Infância da Torre,CASCAIS,JI,36,72,Alta,OK,+351 214 867 292,ji.torrecascais@escolas.min-edu.pt,38.701295,-9.439511
Colégio Saint Daniel Brottier,Lisboa,Infantário,4,72,Verificar,OK,+351 218409027,,38.751645,-9.130264
Jardim Infantil do Centro Social Paroquial de Colares,Colares,JI,36,72,Alta,OK,+351 219293070,ji.cspalmocageme@escolas.min-edu.pt,38.795806,-9.470757
Jardim de Infância Cesaltina Fialho Gouveia,Alcabideche,JI,36,72,Alta,OK,+351 214690467,eb1.n1.alcabideche@escolas.min-edu.pt,38.729946,-9.408412
"Jardim de Infância ""Garatuja""",Alcabideche,JI,36,72,Alta,OK,+351 214603900,ji.garatuja@escolas.min-edu.pt,38.730764,-9.40628
Centro Infantil De Fisgas/Linhó,Alcabideche,Infantário,4,72,Alta,OK,+351 214691090,ci.linho@escolas.min-edu.pt,38.746016,-9.39014
"Jardim de Infância ""Fraldinhas""",Cascais,JI,36,72,Alta,OK_MULTI,+351 966193401;+351 214093553,fraldinhascnaf@gmail.com,38.710896,-9.432972
Escolinha da Ana,Cascais,Infantário,4,72,Verificar,OK,+351 214835368,esc.daana@escolas.min-edu.pt,38.712935,-9.436865
O Pomar,Cascais,Desconhecido,4,72,Verificar,OK,+351 211396598,crecheopomar@gmail.com,38.715069,-9.437098
"Jardim de Infância ""Os Traquinas""",Cascais,JI,36,72,Alta,OK,+351 214830925,ji.ostraquinasestremoz@escolas.min-edu.pt,38.7066,-9.423781
Colégio Cachabiu,Cascais,Infantário,4,72,Verificar,OK,+351 214822481,cl.cachabiu@escolas.min-edu.pt,38.700351,-9.42881
"Jardim Infantil ""A Nova Escola""",Agualva-Cacém,JI,36,72,Alta,OK,+351 214313606,ji.anovaescola@escolas.min-edu.pt,38.774937,-9.296823
"Jardim de Infância ""Toca e Fica""",Agualva-Cacém,JI,36,72,Alta,OK,+351 214325649,ji.tocafica@escolas.min-edu.pt,38.77848,-9.297424
"Colégio ""Cor e Magia""",Agualva-Cacém,Infantário,4,72,Verificar,OK,+351 214310356,ext.obalaomagico@escolas.min-edu.pt,38.773873,-9.28918
Escolinha Amarela,Agualva-Cacém,Infantário,4,72,Verificar,OK,+351 214365119,,38.772647,-9.289466
"Externato ""A Sementinha Mágica""",Agualva-Cacém,Infantário,4,72,Verificar,OK,+351 219141500,ext.asmagica@escolas.min-edu.pt,38.767622,-9.31229
"Jardim de Infância ""Ecobabies""",Agualva-Cacém,JI,36,72,Alta,OK,+351 214338985,,38.770786,-9.284932
Jardim de Infância n.º 2 do Cacém,Agualva-Cacém,JI,36,72,Alta,OK,+351 214313413,ji.cuantaagualva@escolas.min-edu.pt,38.775571,-9.284428
"Jardim de Infância ""Brincar, Rir e Crescer""",Rio de Mouro,JI,36,72,Alta,OK,+351 967236765,,38.791999,-9.319521
"Colégio ""Dim Dam Dum""",Mem Martins,Infantário,4,72,Verificar,OK,+351 939596158,dim_dam_dum@hotmail.com,38.794653,-9.337025
"Jardim de Infância ""Gente Pequena""",Mem Martins,JI,36,72,Alta,OK,+351 219263073,ji.gentepequena@escolas.min-edu.pt,38.798032,-9.34383
"Jardim Infantil ""Os Brincalhões""",Mem Martins,JI,36,72,Alta,OK,+351 219219800,ji.osbrincalhoes@escolas.min-edu.pt,38.796331,-9.346231
"Jardim de Infância ""A Nossa Escola""",Mem Martins,JI,36,72,Alta,OK,+351 219260176,ji.anossaescola@escolas.min-edu.pt,38.79705,-9.351494
Saint John's School,Cascais,Desconhecido,4,72,Verificar,OK,+351 214867966,cl.stjohn@escolas.min-edu.pt,38.704734,-9.415664
Jardim de Infância do Centro Social Baptista do Cacém,Agualva-Cacém,JI,36,72,Alta,OK,+351 219129120,cs.baptista@escolas.min-edu.pt;geral@csbaptista.pt,38.76856,-9.302937
"Jardim de Infância ""Krexe e Muito Mais""",Rio de Mouro,JI,36,72,Alta,OK,+351 210138826,,38.781888,-9.322675
"Jardim de Infância ""Pequenos Aprendizes""",Rio de Mouro,JI,36,72,Alta,OK,+351 219177834,ji.paprendizes@escolas.min-edu.pt,38.782097,-9.326063
Boa Ventura Montessori Nursery School,São Pedro do Estoril,Desconhecido,4,72,Verificar,OK_MULTI,+351 214688023;+351 936 319 160,info@boaventuramontessori.com,38.695021,-9.371588
Jardim de Infância do Centro Social Paroquial de São Pedro e São João do Estoril,Estoril,JI,36,72,Alta,OK_MULTI,+351 214661819;+351 214661918,,38.699199,-9.380047
"Colégio ""Refúgio dos Anjos""",Porto Salvo,Infantário,4,72,Verificar,OK,+351 929 138 007,info@refugiodosanjos.pt,38.74577,-9.307831
"Jardim de Infância ""O Chorão""",Porto Salvo,JI,36,72,Alta,OK,+351 214452700,ji.ochoraoportosalvo@escolas.min-edu.pt,38.71073,-9.314801
Academia AJEC,São Domingos de Rana,Infantário,4,144,Verificar,OK,+351 214489800,ji.ocavalinhopimpao@escolas.min-edu.pt,38.729132,-9.324594
Creche Abóbada,São Domingos de Rana,Creche,4,36,Alta,OK,+351 214446654,,38.727078,-9.334295
"Colégio ""Brinca e Educa""",São Domingos de Rana,Infantário,4,72,Verificar,OK,+351 214451649,cl.brincaeeduca@escolas.min-edu.pt,38.718475,-9.334661
"Jardim de Infância ""Fantasia e Letras""",São Domingos de Rana,JI,36,72,Alta,OK,+351 214456500,amigos@escolas.min-edu.pt,38.717135,-9.348273
"Jardim Escola ""O Cebolinha""",Barcarena,JI,36,72,Alta,OK,+351 214217454,je.ocebolinha@escolas.min-edu.pt,38.72865,-9.283431
"Jardim de Infância ""Tão Balalão""",Porto Salvo,JI,36,72,Alta,OK,+351 214212640,ji.taobalalao@escolas.min-edu.pt,38.71653,-9.299567
"Jardim Infantil ""O Recantinho""",Porto Salvo,JI,36,72,Alta,OK,+351 214212369,ji.orecantinho@escolas.min-edu.pt,38.720032,-9.301903
"Jardim de Infância ""Sonhos e Fantasias""",Belas,JI,36,72,Alta,OK,+351 918660422,ji.sonhosefantasias@escolas.min-edu.pt,38.775532,-9.261159
The Great Kids,Queluz,Desconhecido,4,72,Verificar,SEM_TEL,,,38.751538,-9.279844
"Infantário e Jardim de Infância ""A Colmeia""",Queluz,Infantário,4,72,Alta,OK,+351 214377388,info@acolmeia.pt;direccao@acolmeia.pt,38.750618,-9.27935
"Jardim de Infância ""Giz Mágico""",Queluz,JI,36,72,Alta,OK,+351 214397807,geral@gizmagico.pt,38.751382,-9.278925
Colégio Dona Maria II,Queluz,Infantário,4,72,Verificar,OK,+351 214377249,cl.onossocantinho@escolas.min-edu.pt,38.756599,-9.286835
"Jardim de Infância ""Canteiro dos Sonhos""",Barcarena,JI,36,72,Alta,OK,+351 214388620,ji.canteirosonhos@escolas.min-edu.pt,38.748576,-9.282455
"Colégio ""Os Bobocas""",Barcarena,Infantário,4,72,Verificar,OK,+351 214304896,cl.osbobocas@escolas.min-edu.pt,38.748226,-9.28129
"Cooperativa de Ensino ""A Praceta""",Oeiras,Infantário,4,72,Verificar,OK,+351 214430628,coop.apraceta@escolas.min-edu.pt,38.693714,-9.320491
Horizonte Sagrada Família,São Domingos de Rana,Desconhecido,4,72,Verificar,OK,+351 211378062,gab.direcao@horizonte.pt;secretaria.hsf@horizonte.pt,38.70115,-9.354733
Jardim de Infância da Associação de Educação Popular do Zambujal,São Domingos de Rana,JI,36,72,Alta,OK,+351 214522434,,38.702593,-9.345612
"Jardim de Infância ""Traquinauta""",Carcavelos,JI,36,72,Alta,OK,+351 214579388,ji.traquinauta@escolas.min-edu.pt,38.691861,-9.337011
Jardim de Infância Nossa Senhora do Rosário de Fátima,Carcavelos,JI,36,72,Alta,OK,+351 214570949,ji.nsrarosariofatima@escolas.min-edu.pt,38.69066,-9.327518
"Recanto Infantil ""Mafalda""",Oeiras,Desconhecido,4,72,Verificar,OK,+351 214564030,mafalda@escolas.min-edu.pt,38.689041,-9.325201
"Externato ""Jardim dos Lombos""",Carcavelos,Infantário,4,72,Verificar,OK,+351 214576447,ext.jardimlombos@escolas.min-edu.pt,38.685554,-9.326136
"Externato ""O Balão Azul""",Oeiras,Infantário,4,72,Verificar,OK,+351 214425976,ext.obalaoazul@escolas.min-edu.pt,38.690725,-9.317182
Colégio Flor da Linha,Paço de Arcos,Infantário,4,72,Verificar,OK,+351 214540430,cl.flordalinha@escolas.min-edu.pt,38.697254,-9.294462
Infantário Popular de Paço de Arcos,Oeiras,Infantário,4,72,Alta,OK,+351 214437818,ass.popularpacoarcos@escolas.min-edu.pt,38.696848,-9.289621
Casa da Criança Rainha Santa Isabel,Paço de Arcos,Infantário,4,72,Verificar,OK_MULTI,+351 214460570;+351 968121047,geral@nibpacodearcos.com,38.694699,-9.294948
Os Pequenos Marqueses,Oeiras,Desconhecido,4,72,Verificar,OK,+351 917995103,geral@ospequenosmarqueses.pt,38.703698,-9.309495
Externato Fernando Pessoa,Queluz,Infantário,4,72,Verificar,OK,+351 214304133,,38.760045,-9.266905
"Jardim Infantil ""O Rezingão""",Queluz,JI,36,72,Alta,OK,+351 214373045,ji.orezingao@escolas.min-edu.pt,38.760005,-9.267407
"Colégio ""Galáxia Branca""",Queluz,Infantário,4,72,Verificar,OK,+351 214376273,ji.galaxiabranca@escolas.min-edu.pt,38.760163,-9.267704
"Externato ""Os Coelhinhos""",Queluz,Infantário,4,72,Verificar,OK,+351 214304367,ext.oscoelhinhos@escolas.min-edu.pt,38.760262,-9.266403
Creche e Jardim de Infância Madre Maria Clara,Queijas,Infantário,4,72,Alta,OK,+351 214181227,geral@osmmac.pt,38.717118,-9.254195
Gugulândia,Queijas,Desconhecido,4,72,Verificar,OK_MULTI,+351 212490379;+351 963740046;+351 965615439,gugulandia.creche@gmail.com,38.720884,-9.259582
"Centro Infantil ""Os Traquinas""",Queijas,Infantário,4,72,Alta,OK,+351 214186421,ci.traquinas@escolas.min-edu.pt,38.721747,-9.264123
Jardim de Infância Julieta Pimenta,Amadora,JI,36,72,Alta,OK,+351 214950505,geral@misericordia-oeiras.pt;ji.jpstcmisericordia@escolas.min-edu.pt,38.753923,-9.230123
Jardim de Infância da Falagueira,Amadora,JI,36,72,Alta,SEM_TEL,,,38.758944,-9.227959
Jardim de Infância da Associação dos Amigos da Damaia,Amadora,JI,36,72,Alta,OK,+351 214901230,ji.assamigosdadamaia@escolas.min-edu.pt,38.746346,-9.218802
Jardim de Infância do Centro Social Paroquial de São Brás,Amadora,JI,36,72,Alta,OK,+351 214929450,ji.cspsaobras@escolas.min-edu.pt,38.76986,-9.229643
"Colégio ""Moinho do Sonho""",Amadora,Infantário,4,72,Verificar,OK,+351 214988340,,38.777689,-9.23538
"Jardim Infantil ""Bela Vista""",Amadora,JI,36,72,Alta,OK,+351 214932900,ji.bvistaserramina@escolas.min-edu.pt,38.779202,-9.229427
Centro de Acolhimento Infantil do Bairro da Boavista,Lisboa,Infantário,4,72,Verificar,OK,+351 217620640,,38.732489,-9.20599
Escola Ana Guedes,Linda a Velha,Desconhecido,4,72,Verificar,OK,+351 214198523,ji.osnossostemposlivres@escolas.min-edu.pt,38.71198,-9.240959
"Jardim de Infância ""O Bambi""",Cruz Quebrada - Dafundo,JI,36,72,Alta,OK,+351 214197898,ji.obambi@escolas.min-edu.pt,38.700721,-9.240387
Kriakrianças,Linda a Velha,Desconhecido,4,72,Verificar,OK,+351 214199082,jardimestrelinhas@escolas.min-edu.pt,38.718182,-9.241289
Jardim de Infância Tomás Ribeiro,Carnaxide,JI,36,72,Alta,OK,+351 214177467,ji.altobarronhos@escolas.min-edu.pt,38.719428,-9.233366
Colégio Rik & Rok de Alfragide,Carnaxide,Infantário,4,72,Verificar,OK,+351 217127331,,38.726453,-9.217033
"Colégio ""Jardim d'Alfragide""",Amadora,Infantário,4,72,Verificar,OK,+351 214714867,fraldinhastravessuras@gmail.com,38.73183,-9.218765
Jardim de Infância São Jorge,Amadora,JI,36,72,Alta,OK,+351 214711920,ji.sjorgealfragide@escolas.min-edu.pt,38.73707,-9.213845
Jardim de Infância da Associação de Proteção à Infância da Ajuda,Lisboa,JI,36,72,Alta,OK,+351 213647808,ass.pinfanciaajuda@escolas.min-edu.pt,38.708123,-9.195617
L'École Trilingue,Lisboa,Desconhecido,4,72,Verificar,OK_MULTI,+351 910335102;+351 211931518,info@lecoletrilingue.com;admin@lecoletrilingue.com;direction@lecolebiligue.com,38.699441,-9.212354
"Jardim Infantil ""O Nosso Colégio""",Lisboa,JI,36,72,Alta,OK,+351 914968527,ji.onossocolegio@escolas.min-edu.pt,38.700319,-9.216781
Creche na Quinta,Lisboa,Creche,4,36,Alta,OK,+351 217570862,geral@crechenaquinta.com,38.782336,-9.15805
Jardim de Infância da Associação Cantinho das Crianças do Prior Velho,Prior Velho,JI,36,72,Alta,OK_MULTI,+351 211 921 797;+351 219424949,ass.ccpriorvelho@escolas.min-edu.pt,38.79103,-9.120712
A Casa Amarela,Lisboa,Infantário,4,72,Verificar,SEM_TEL,,,38.760927,-9.185708
"Jardim Escola ""O Carrocel""",Lisboa,JI,36,72,Alta,OK,+351 217603958,je.ocarrocel@escolas.min-edu.pt,38.752252,-9.205124
Centro Infantil dos Olivais Sul,Lisboa,Infantário,4,72,Alta,OK,+351 218533539,akfportugal@akdn.org,38.763479,-9.113918
Jardim Infantil do Centro Paroquial Santo Eugénio,Lisboa,JI,36,72,Alta,OK,+351 218510864,ji.cpsteugenio@escolas.min-edu.pt,38.77149,-9.114943
Jardim de Infância da Fundação Obra de Nossa Senhora da Purificação,Lisboa,JI,36,72,Alta,OK,+351 219434433,ji.fonsrapurificacao@escolas.min-edu.pt,38.780761,-9.114511
Astória International School,Lisboa,Desconhecido,4,72,Verificar,OK,+351 211583551,,38.752351,-9.130199
Centro de Acolhimento Infantil Vale Fundão I,Lisboa,Infantário,4,72,Verificar,OK,+351 218310620,,38.745067,-9.108381
Centro de Promoção Social da PRODAC,Lisboa,Infantário,4,72,Verificar,OK,+351 218310950,cps.prodac@scml.pt,38.744635,-9.107989
Jardim Infantil da Associação do Pessoal da Fundação Calouste Gulbenkian,Lisboa,JI,36,72,Alta,OK,+351 217823566,ji.apfcgulbenkian@escolas.min-edu.pt,38.739007,-9.156575
"Centro Infantil ""O Roseiral""",Lisboa,Infantário,4,72,Alta,OK,+351 217802410,,38.738389,-9.156088
Infantário de Nossa Senhora da Purificação,Lisboa,Infantário,4,72,Alta,OK,+351 217969727,if.nsradapurificacao@escolas.min-edu.pt,38.746879,-9.14254
Centro de Educação e Desenvolvimento António Aurélio da Costa Ferreira,Lisboa,Desconhecido,4,72,Verificar,OK,+351 217935975,,38.753748,-9.145353
Colégio do Largo,Lisboa,Infantário,4,72,Verificar,OK,+351 218 455 930,colegiodolargo@mail.telepac.pt,38.738201,-9.140749
Externato Santa Maria do Mar,Lisboa,Infantário,4,72,Verificar,OK,+351 218407386,sta_maria_mar@hotmail.com,38.73843,-9.139594
"Creche ""A Tartaruga e a Lebre""",,Creche,4,36,Alta,SEM_TEL,,,38.756607,-9.136945
Creche da Quinta dos Arcos,,Creche,4,36,Alta,SEM_TEL,,,38.77165,-9.108338
Creche do Casal do Pinto,,Creche,4,36,Alta,SEM_TEL,,,38.736662,-9.121678
Jardim Escola João De Deus - Lisboa 1,Lisboa,JI,36,72,Alta,OK,+351 217 972 554,cilisboa1@escolasjoaodeus.pt,38.757466,-9.156703
Creche André de Gouveia,,Creche,4,36,Alta,SEM_TEL,,,38.777797,-9.165312
Creche Almada Negreiros,,Creche,4,36,Alta,SEM_TEL,,,38.760306,-9.109409
Creche da Quinta dos Ourives,,Creche,4,36,Alta,SEM_TEL,,,38.736438,-9.114291
Creche Rodrigues Miguéis,,Creche,4,36,Alta,SEM_TEL,,,38.748842,-9.19298
Colégio Terra da Fantasia,,Infantário,4,72,Verificar,SEM_TEL,,,38.761203,-9.128517
Jardim de Infância do Centro Social Paroquial São Vicente de Alcabideche,Alcabideche,JI,36,72,Alta,OK,+351 215961617,geral@escolasdesaovicente.pt;ji.cspsvicente@escolas.min-edu.pt,38.745915,-9.389457
Jardim de Infância Santa Ana,Paço de Arcos,JI,36,72,Alta,OK_MULTI,+351 214413646;+351 914487095,ji.staanapacoarcos@escolas.min-edu.pt,38.70334,-9.292442
Nuclisol Jean Piaget,Lisboa,Desconhecido,4,72,Verificar,OK,+351 217572422,ana.correia@nuclisol.org,38.792478,-9.150319
Infantário ATL,,Infantário,4,72,Alta,SEM_TEL,,,38.689596,-9.334737
Casa do sagrado Coração de jesus,,Infantário,4,72,Verificar,SEM_TEL,,,38.690041,-9.34036
A Pipoca Azul,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.702579,-9.357252
Bebés Patuscos,São João do Estoril,Infantário,4,72,Verificar,SEM_TEL,,,38.699454,-9.376206
creche o pinhal,,Creche,4,36,Alta,SEM_TEL,,,38.705578,-9.38888
A Cegonha,Carcavelos e Parede,Desconhecido,4,72,Verificar,SEM_TEL,,,38.697767,-9.356662
Cantinho d'O Baloiço,,Infantário,4,72,Verificar,SEM_TEL,,,38.657187,-9.15459
O Berço,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.672023,-9.163271
